date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:06	287396/287396	---M--	200	added ('OK')	image/png	etag:%22462a4-544cd6afc94f7%22	http://120.72.91.53/themeforest/event_planning/images/login-leftImg.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/login-leftImg.png	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:15:33	554119/554119	---M--	200	added ('OK')	image/jpeg	etag:%2287487-544cd6afe2b37%22	http://120.72.91.53/themeforest/event_planning/images/banner-img/slider-img2.jpg	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/banner-img/slider-img2.jpg	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:15:39	652136/652136	---M--	200	added ('OK')	image/jpeg	etag:%229f368-544cd6afdfc57%22	http://120.72.91.53/themeforest/event_planning/images/banner-img/slider-img.jpg	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/banner-img/slider-img.jpg	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:16:00	77867/77867	---M--	200	added ('OK')	image/jpeg	etag:%221302b-544cd6afd40d7%22	http://120.72.91.53/themeforest/event_planning/images/event-img/event-img2.jpg	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/event-img/event-img2.jpg	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:16:01	2064/2064	---M--	200	added ('OK')	image/png	etag:%22810-544cd6b0399d7%22	http://120.72.91.53/themeforest/event_planning/images/heading-blackBgimg.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/heading-blackBgimg.png	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:16:03	105604/105604	---M--	200	added ('OK')	image/jpeg	etag:%2219c84-544cd6afcc3d7%22	http://120.72.91.53/themeforest/event_planning/images/event-img/event-img1.jpg	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/event-img/event-img1.jpg	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:16:06	616578/616578	---M--	200	added ('OK')	image/jpeg	etag:%2296882-544cd6afe9897%22	http://120.72.91.53/themeforest/event_planning/images/banner-img/slider-img3.jpg	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/banner-img/slider-img3.jpg	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:16:07	1168/1168	---M--	200	added ('OK')	image/png	etag:%22490-544cd6b055ef7%22	http://120.72.91.53/themeforest/event_planning/images/starting-point.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/starting-point.png	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:16:07	20811/20811	---M--	200	added ('OK')	image/png	etag:%22514b-544cd6b03a977%22	http://120.72.91.53/themeforest/event_planning/images/img-fream.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/img-fream.png	(from http://120.72.91.53/themeforest/event_planning/index.html)
15:16:07	1158/1158	---M--	200	added ('OK')	image/png	etag:%22486-544cd6b04b317%22	http://120.72.91.53/themeforest/event_planning/images/ending-point.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/ending-point.png	(from http://120.72.91.53/themeforest/event_planning/index.html)
